area_fips,area_title,emp_2015,emp_2013,chg
48385,"Real County, Texas",32,178,-0.820224719
48075,"Childress County, Texas",110,382,-0.712041885
48009,"Archer County, Texas",89,254,-0.649606299
13093,"Dooly County, Georgia",60,163,-0.63190184
28019,"Choctaw County, Mississippi",82,220,-0.627272727
48237,"Jack County, Texas",74,190,-0.610526316
13037,"Calhoun County, Georgia",74,160,-0.5375
21153,"Magoffin County, Kentucky",205,429,-0.522144522
48193,"Hamilton County, Texas",256,516,-0.503875969
01017,"Chambers County, Alabama",673,1268,-0.469242902
08065,"Lake County, Colorado",124,225,-0.448888889
13251,"Screven County, Georgia",158,278,-0.431654676
48337,"Montague County, Texas",392,689,-0.431059507
38013,"Burke County, North Dakota",12,21,-0.428571429
28043,"Grenada County, Mississippi",717,1246,-0.424558587
22007,"Assumption Parish, Louisiana",421,723,-0.417704011
13289,"Twiggs County, Georgia",134,223,-0.399103139
28117,"Prentiss County, Mississippi",703,1169,-0.398631309
13165,"Jenkins County, Georgia",169,281,-0.398576512
48307,"McCulloch County, Texas",158,261,-0.394636015
48077,"Clay County, Texas",103,169,-0.390532544
48289,"Leon County, Texas",99,162,-0.388888889
26031,"Cheboygan County, Michigan",671,1091,-0.384967919
21105,"Hickman County, Kentucky",138,224,-0.383928571
48459,"Upshur County, Texas",394,638,-0.382445141
13029,"Bryan County, Georgia",643,1035,-0.378743961
21025,"Breathitt County, Kentucky",929,1489,-0.376091336
48125,"Dickens County, Texas",15,24,-0.375
22025,"Catahoula Parish, Louisiana",293,466,-0.371244635
37143,"Perquimans County, North Carolina",123,193,-0.362694301
13259,"Stewart County, Georgia",111,172,-0.354651163
13195,"Madison County, Georgia",228,349,-0.346704871
13183,"Long County, Georgia",19,29,-0.344827586
22087,"St. Bernard Parish, Louisiana",629,957,-0.342737722
48447,"Throckmorton County, Texas",79,119,-0.336134454
47171,"Unicoi County, Tennessee",522,779,-0.329910141
27117,"Pipestone County, Minnesota",482,710,-0.321126761
17151,"Pope County, Illinois",71,104,-0.317307692
40111,"Okmulgee County, Oklahoma",1577,2262,-0.302829355
17131,"Mercer County, Illinois",318,455,-0.301098901
48253,"Jones County, Texas",464,663,-0.30015083
47007,"Bledsoe County, Tennessee",63,90,-0.3
48093,"Comanche County, Texas",450,635,-0.291338583
48275,"Knox County, Texas",96,134,-0.28358209
19097,"Jackson County, Iowa",622,865,-0.280924855
17055,"Franklin County, Illinois",919,1272,-0.277515723
47129,"Morgan County, Tennessee",311,426,-0.269953052
29097,"Jasper County, Missouri",6104,8315,-0.265904991
21065,"Estill County, Kentucky",389,529,-0.264650284
21115,"Johnson County, Kentucky",715,966,-0.259834369
19177,"Van Buren County, Iowa",229,309,-0.258899676
13019,"Berrien County, Georgia",256,343,-0.253644315
48083,"Coleman County, Texas",266,356,-0.252808989
20147,"Phillips County, Kansas",260,346,-0.248554913
28063,"Jefferson County, Mississippi",243,323,-0.247678019
37189,"Watauga County, North Carolina",2691,3568,-0.245795964
19071,"Fremont County, Iowa",285,377,-0.24403183
19063,"Emmet County, Iowa",746,986,-0.243407708
17047,"Edwards County, Illinois",98,129,-0.240310078
26149,"St. Joseph County, Michigan",1758,2309,-0.238631442
26109,"Menominee County, Michigan",225,295,-0.237288136
55121,"Trempealeau County, Wisconsin",947,1236,-0.23381877
38071,"Ramsey County, North Dakota",662,856,-0.226635514
13133,"Greene County, Georgia",493,637,-0.226059655
37039,"Cherokee County, North Carolina",1082,1398,-0.226037196
53005,"Benton County, Washington",7972,10296,-0.225718726
51105,"Lee County, Virginia",535,688,-0.222383721
20001,"Allen County, Kansas",455,581,-0.21686747
47013,"Campbell County, Tennessee",1871,2388,-0.216499162
51049,"Cumberland County, Virginia",76,97,-0.216494845
48487,"Wilbarger County, Texas",396,504,-0.214285714
06021,"Glenn County, California",474,602,-0.212624585
13317,"Wilkes County, Georgia",419,532,-0.212406015
39015,"Brown County, Ohio",1201,1523,-0.211424819
47127,"Moore County, Tennessee",124,157,-0.210191083
48429,"Stephens County, Texas",257,325,-0.209230769
48343,"Morris County, Texas",174,220,-0.209090909
38029,"Emmons County, North Dakota",178,225,-0.208888889
51630,"Fredericksburg city, Virginia",4438,5609,-0.208771617
48387,"Red River County, Texas",277,350,-0.208571429
48197,"Hardeman County, Texas",137,173,-0.208092486
17105,"Livingston County, Illinois",1655,2087,-0.206995688
22095,"St. John the Baptist Parish, Louisiana",966,1218,-0.206896552
20095,"Kingman County, Kansas",319,402,-0.206467662
13277,"Tift County, Georgia",2393,3015,-0.206301824
13023,"Bleckley County, Georgia",214,269,-0.204460967
46007,"Bennett County, South Dakota",152,191,-0.204188482
20015,"Butler County, Kansas",2968,3715,-0.201076716
37015,"Bertie County, North Carolina",933,1162,-0.19707401
13193,"Macon County, Georgia",384,478,-0.19665272
48123,"DeWitt County, Texas",875,1088,-0.195772059
48395,"Robertson County, Texas",288,358,-0.195530726
55023,"Crawford County, Wisconsin",876,1088,-0.194852941
13147,"Hart County, Georgia",348,431,-0.192575406
42131,"Wyoming County, Pennsylvania",515,637,-0.191522763
40005,"Atoka County, Oklahoma",343,424,-0.191037736
36031,"Essex County, New York",2032,2508,-0.189792663
20197,"Wabaunsee County, Kansas",111,137,-0.189781022
56027,"Niobrara County, Wyoming",56,69,-0.188405797
13119,"Franklin County, Georgia",604,744,-0.188172043
40141,"Tillman County, Oklahoma",221,272,-0.1875
20117,"Marshall County, Kansas",491,604,-0.187086093
30087,"Rosebud County, Montana",222,273,-0.186813187
28053,"Humphreys County, Mississippi",183,225,-0.186666667
21163,"Meade County, Kentucky",332,407,-0.184275184
05047,"Franklin County, Arkansas",563,690,-0.184057971
39163,"Vinton County, Ohio",329,403,-0.183622829
48499,"Wood County, Texas",1187,1453,-0.183069511
45009,"Bamberg County, South Carolina",453,554,-0.182310469
45073,"Oconee County, South Carolina",2274,2779,-0.181720043
40077,"Latimer County, Oklahoma",331,404,-0.180693069
39023,"Clark County, Ohio",8063,9816,-0.178585982
21197,"Powell County, Kentucky",236,287,-0.177700348
46031,"Corson County, South Dakota",14,17,-0.176470588
48273,"Kleberg County, Texas",1597,1939,-0.176379577
05067,"Jackson County, Arkansas",717,869,-0.174913694
46109,"Roberts County, South Dakota",468,567,-0.174603175
39105,"Meigs County, Ohio",427,517,-0.174081238
22093,"St. James Parish, Louisiana",446,540,-0.174074074
22003,"Allen Parish, Louisiana",739,894,-0.173378076
44001,"Bristol County, Rhode Island",2758,3333,-0.172517252
21175,"Morgan County, Kentucky",322,389,-0.172236504
47041,"DeKalb County, Tennessee",423,511,-0.17221135
48025,"Bee County, Texas",1036,1251,-0.17186251
37113,"Macon County, North Carolina",1319,1592,-0.171482412
45039,"Fairfield County, South Carolina",536,646,-0.170278638
05041,"Desha County, Arkansas",494,593,-0.166947723
28159,"Winston County, Mississippi",584,696,-0.16091954
48225,"Houston County, Texas",643,766,-0.160574413
47151,"Scott County, Tennessee",659,785,-0.160509554
48391,"Refugio County, Texas",225,268,-0.160447761
47115,"Marion County, Tennessee",686,817,-0.160342717
48467,"Van Zandt County, Texas",959,1142,-0.160245184
47131,"Obion County, Tennessee",1054,1253,-0.158818835
48255,"Karnes County, Texas",405,481,-0.158004158
46009,"Bon Homme County, South Dakota",316,375,-0.157333333
39047,"Fayette County, Ohio",1125,1335,-0.157303371
48097,"Cooke County, Texas",982,1164,-0.156357388
13253,"Seminole County, Georgia",353,418,-0.155502392
22041,"Franklin Parish, Louisiana",957,1131,-0.153846154
51047,"Culpeper County, Virginia",1788,2108,-0.151802657
37047,"Columbus County, North Carolina",2664,3140,-0.151592357
37115,"Madison County, North Carolina",553,651,-0.150537634
48419,"Shelby County, Texas",638,751,-0.150466045
17005,"Bond County, Illinois",510,600,-0.15
26011,"Arenac County, Michigan",569,669,-0.149476831
05073,"Lafayette County, Arkansas",148,174,-0.149425287
48189,"Hale County, Texas",1100,1293,-0.149265275
39051,"Fulton County, Ohio",1943,2283,-0.148926851
18149,"Starke County, Indiana",263,309,-0.148867314
55085,"Oneida County, Wisconsin",2586,3036,-0.148221344
