"area_fips","area_title","y2002","y2010","y2015","pct_chg_2010_2015"
"10001","missing",6378,8227,10568,0.28
"10003","New Castle, Delaware",32421,40118,44015,0.1
"10005","Sussex, Delaware",7752,10017,11780,0.18
"10999","missing",,0,133,"na"
"11001","District of Columbia",,65170,66439,0.02
"11999","missing",60238,,,"na"
"12001","Alachua, Fla.",17072,21323,24364,0.14
"12003","Baker, Fla.",1729,1850,1861,0.01
"12005","Bay, Fla.",8339,9184,9381,0.02
"12007","Bradford, Fla.",692,953,818,-0.14
"12009","Brevard, Fla.",24669,27797,29105,0.05
"12011","Broward, Fla.",77792,87607,91245,0.04
"12013","Calhoun, Fla.",347,559,689,0.23
"12015","Charlotte, Fla.",7492,8400,8238,-0.02
"12017","Citrus, Fla.",5407,7296,9121,0.25
"12019","Clay, Fla.",5274,6224,8165,0.31
"12021","Collier, Fla.",11888,16204,17249,0.06
"12023","Columbia, Fla.",3222,4082,4552,0.12
"12027","DeSoto, Fla.",638,0,1068,"na"
"12029","Dixie, Fla.",0,137,290,1.12
"12031","Duval, Fla.",46475,57344,56614,-0.01
"12033","Escambia, Fla.",17079,18657,21199,0.14
"12035","Flagler, Fla.",1127,2411,3110,0.29
"12037","Franklin, Fla.",238,148,294,0.99
"12039","Gadsden, Fla.",3252,3036,2537,-0.16
"12041","Gilchrist, Fla.",239,437,585,0.34
"12043","Glades, Fla.",0,0,122,"na"
"12045","Gulf, Fla.",403,354,562,0.59
"12047","Hamilton, Fla.",351,209,264,0.26
"12049","Hardee, Fla.",1044,1335,1213,-0.09
"12051","Hendry, Fla.",526,854,1048,0.23
"12053","Hernando, Fla.",5051,7366,8024,0.09
"12055","Highlands, Fla.",4206,5166,5558,0.08
"12057","Hillsborough, Fla.",52735,70045,77841,0.11
"12059","Holmes, Fla.",430,651,531,-0.18
"12061","Indian River, Fla.",6582,7773,8992,0.16
"12063","Jackson, Fla.",1551,1795,1766,-0.02
"12065","Jefferson, Fla.",382,332,228,-0.31
"12067","Lafayette, Fla.",159,142,149,0.05
"12069","Lake, Fla.",10187,14821,17278,0.17
"12071","Lee, Fla.",20675,27854,34908,0.25
"12073","Leon, Fla.",15072,16151,17901,0.11
"12075","Levy, Fla.",538,596,629,0.06
"12077","Liberty, Fla.",118,116,466,3.02
"12079","Madison, Fla.",892,624,648,0.04
"12081","Manatee, Fla.",10691,13446,15059,0.12
"12083","Marion, Fla.",12110,14774,16190,0.1
"12085","missing",6871,8334,10150,0.22
"12086","Miami-Dade, Fla.",100228,124600,135368,0.09
"12087","Monroe, Fla.",2657,2316,2490,0.08
"12089","Nassau, Fla.",1481,2177,2354,0.08
"12091","missing",8002,8417,8622,0.02
"12093","Okeechobee, Fla.",1406,1179,1346,0.14
"12095","Orange, Fla.",49874,63264,69664,0.1
"12097","Osceola, Fla.",6045,9587,11195,0.17
"12099","Palm Beach, Fla.",63627,70469,80302,0.14
"12101","Pasco, Fla.",12942,16104,20327,0.26
"12103","Pinellas, Fla.",58135,63755,69507,0.09
"12105","Polk, Fla.",18866,25686,27735,0.08
"12107","Putnam, Fla.",2073,2326,2492,0.07
"12109","St. Johns, Fla.",5011,6601,7736,0.17
"12111","St. Lucie, Fla.",7797,9692,11225,0.16
"12113","Santa Rosa, Fla.",2631,3316,3698,0.12
"12115","Sarasota, Fla.",21535,24348,27649,0.14
"12117","Seminole, Fla.",12667,16011,18724,0.17
"12119","Sumter, Fla.",576,1763,4088,1.32
"12121","Suwannee, Fla.",1195,1467,1507,0.03
"12123","Taylor, Fla.",686,629,672,0.07
"12125","Union, Fla.",395,0,690,"na"
"12127","Volusia, Fla.",20224,25561,27104,0.06
"12129","Wakulla, Fla.",187,193,212,0.1
"12131","Walton, Fla.",701,1608,2162,0.34
"12133","Washington, Fla.",710,852,892,0.05
"12999","missing",165,318,1531,3.81
"13001","Appling, Ga.",696,1053,1032,-0.02
"13003","Atkinson, Ga.",30,38,0,"na"
"13005","Bacon, Ga.",357,0,521,"na"
"13007","Baker, Ga.",0,0,0,"na"
"13009","Baldwin, Ga.",4617,4209,3674,-0.13
"13011","Banks, Ga.",51,129,157,0.22
"13013","Barrow, Ga.",781,1353,1434,0.06
"13015","Bartow, Ga.",2172,2495,2855,0.14
"13017","Ben Hill, Ga.",733,674,596,-0.12
"13019","Berrien, Ga.",394,383,256,-0.33
"13021","Bibb, Ga.",13267,15319,15429,0.01
"13023","Bleckley, Ga.",299,327,214,-0.35
"13025","Brantley, Ga.",106,0,119,"na"
"13027","Brooks, Ga.",455,562,520,-0.07
"13029","Bryan, Ga.",390,1186,643,-0.46
"13031","Bulloch, Ga.",2124,2474,3146,0.27
"13033","Burke, Ga.",437,523,451,-0.14
"13035","Butts, Ga.",703,540,570,0.06
"13037","Calhoun, Ga.",155,252,74,-0.71
"13039","Camden, Ga.",964,847,892,0.05
"13043","Candler, Ga.",456,517,579,0.12
"13045","Carroll, Ga.",3300,4465,4895,0.1
