"area_fips","area_title","y2002","y2010","y2015","pct_chg_2010_2015"
"10001",,6378,8227,10568,"28.46"
"10003","New Castle, Delaware",32421,40118,44015,"9.71"
"10005","Sussex, Delaware",7752,10017,11780,"17.60"
"10999",,,0,133,"na"
"11001","District of Columbia",,65170,66439,"1.95"
"11999",,60238,,,"na"
"12001","Alachua, Fla.",17072,21323,24364,"14.26"
"12003","Baker, Fla.",1729,1850,1861,"0.59"
"12005","Bay, Fla.",8339,9184,9381,"2.15"
"12007","Bradford, Fla.",692,953,818,"-14.17"
"12009","Brevard, Fla.",24669,27797,29105,"4.71"
"12011","Broward, Fla.",77792,87607,91245,"4.15"
"12013","Calhoun, Fla.",347,559,689,"23.26"
"12015","Charlotte, Fla.",7492,8400,8238,"-1.93"
"12017","Citrus, Fla.",5407,7296,9121,"25.01"
"12019","Clay, Fla.",5274,6224,8165,"31.19"
"12021","Collier, Fla.",11888,16204,17249,"6.45"
"12023","Columbia, Fla.",3222,4082,4552,"11.51"
"12027","DeSoto, Fla.",638,0,1068,"na"
"12029","Dixie, Fla.",0,137,290,"111.68"
"12031","Duval, Fla.",46475,57344,56614,"-1.27"
"12033","Escambia, Fla.",17079,18657,21199,"13.62"
"12035","Flagler, Fla.",1127,2411,3110,"28.99"
"12037","Franklin, Fla.",238,148,294,"98.65"
"12039","Gadsden, Fla.",3252,3036,2537,"-16.44"
"12041","Gilchrist, Fla.",239,437,585,"33.87"
"12043","Glades, Fla.",0,0,122,"na"
"12045","Gulf, Fla.",403,354,562,"58.76"
"12047","Hamilton, Fla.",351,209,264,"26.32"
"12049","Hardee, Fla.",1044,1335,1213,"-9.14"
"12051","Hendry, Fla.",526,854,1048,"22.72"
"12053","Hernando, Fla.",5051,7366,8024,"8.93"
"12055","Highlands, Fla.",4206,5166,5558,"7.59"
"12057","Hillsborough, Fla.",52735,70045,77841,"11.13"
"12059","Holmes, Fla.",430,651,531,"-18.43"
"12061","Indian River, Fla.",6582,7773,8992,"15.68"
"12063","Jackson, Fla.",1551,1795,1766,"-1.62"
"12065","Jefferson, Fla.",382,332,228,"-31.33"
"12067","Lafayette, Fla.",159,142,149,"4.93"
"12069","Lake, Fla.",10187,14821,17278,"16.58"
"12071","Lee, Fla.",20675,27854,34908,"25.32"
"12073","Leon, Fla.",15072,16151,17901,"10.84"
"12075","Levy, Fla.",538,596,629,"5.54"
"12077","Liberty, Fla.",118,116,466,"301.72"
"12079","Madison, Fla.",892,624,648,"3.85"
"12081","Manatee, Fla.",10691,13446,15059,"12.00"
"12083","Marion, Fla.",12110,14774,16190,"9.58"
"12085",,6871,8334,10150,"21.79"
"12086","Miami-Dade, Fla.",100228,124600,135368,"8.64"
"12087","Monroe, Fla.",2657,2316,2490,"7.51"
"12089","Nassau, Fla.",1481,2177,2354,"8.13"
"12091",,8002,8417,8622,"2.44"
"12093","Okeechobee, Fla.",1406,1179,1346,"14.16"
"12095","Orange, Fla.",49874,63264,69664,"10.12"
"12097","Osceola, Fla.",6045,9587,11195,"16.77"
"12099","Palm Beach, Fla.",63627,70469,80302,"13.95"
"12101","Pasco, Fla.",12942,16104,20327,"26.22"
"12103","Pinellas, Fla.",58135,63755,69507,"9.02"
"12105","Polk, Fla.",18866,25686,27735,"7.98"
"12107","Putnam, Fla.",2073,2326,2492,"7.14"
"12109","St. Johns, Fla.",5011,6601,7736,"17.19"
"12111","St. Lucie, Fla.",7797,9692,11225,"15.82"
"12113","Santa Rosa, Fla.",2631,3316,3698,"11.52"
