"area_fips","area_title","hc2010","hc2015","nf2010","nf2015","ins2010","ins2015","hcChg","nfChg","insChg","winner2016","pop16"
"10001","Kent County, Delaware",8227,10568,46405,51662,122882,132208,0.2846,0.1133,0.0759,"gop",174827
"10003","New Castle County, Delaware",40118,44015,255149,275123,406739,433104,0.0971,0.0783,0.0648,"dem",556987
"10005","Sussex County, Delaware",10017,11780,56833,65247,132691,145437,0.176,0.148,0.0961,"gop",220251
"11001","District of Columbia, District of Columbia",65170,66439,463076,513002,458677,538759,0.0195,0.1078,0.1746,"dem",681170
"12001","Alachua County, Florida",21323,24364,81509,90590,166088,188004,0.1426,0.1114,0.132,"dem",263496
"12003","Baker County, Florida",1850,1861,5261,5389,17953,19013,0.0059,0.0243,0.059,"gop",27937
"12005","Bay County, Florida",9184,9381,54427,63167,110367,128495,0.0215,0.1606,0.1643,"gop",183974
"12007","Bradford County, Florida",953,818,4379,4080,16053,16435,-0.1417,-0.0683,0.0238,"gop",26926
"12009","Brevard County, Florida",27797,29105,163923,169860,336848,374519,0.0471,0.0362,0.1118,"gop",579130
"12011","Broward County, Florida",87607,91245,593373,675441,1082895,1323168,0.0415,0.1383,0.2219,"dem",1909632
"12013","Calhoun County, Florida",559,689,1634,1778,8160,8508,0.2326,0.0881,0.0426,"gop",14423
"12015","Charlotte County, Florida",8400,8238,36934,37485,79578,87094,-0.0193,0.0149,0.0944,"gop",178465
"12017","Citrus County, Florida",7296,9121,25017,27791,74060,76311,0.2501,0.1109,0.0304,"gop",143621
"12019","Clay County, Florida",6224,8165,36348,38638,137905,152783,0.3119,0.063,0.1079,"gop",208311
"12021","Collier County, Florida",16204,17249,101450,118795,164858,189612,0.0645,0.171,0.1502,"gop",365136
"12023","Columbia County, Florida",4082,4552,16453,18673,41629,45255,0.1151,0.1349,0.0871,"gop",69299
"12027","DeSoto County, Florida",0,1068,5002,5140,16938,18668,"na",0.0276,0.1021,"gop",35800
"12029","Dixie County, Florida",137,290,1267,1609,9326,9427,1.1168,0.2699,0.0108,"gop",16300
"12031","Duval County, Florida",57344,56614,382646,417943,606283,672633,-0.0127,0.0922,0.1094,"gop",926255
